id,name,cat_id,category,sub_cat_id,subcategory,four_letter,four_letter_total_voted,enneagram,enneagram_total_voted,socionics,socionics_total_voted,instinctual_variant,instinctual_variant_total_voted,tritype,tritype_total_voted,temperaments,temperaments_total_voted,attitudinal_psyche,attitudinal_psyche_total_voted,big_5_SLOAN,big_5_SLOAN_total_voted,classic_jungian,classic_jungian_total_voted,letter_1,letter_1_percentage,letter_2,letter_2_percentage,letter_3,letter_3_percentage,letter_4,letter_4_percentage,four_letter_total_voted_binned
236045,Hwang In-Yeop,1,Pop Culture,3427,Actors & Actresses (Asia),INFP,299,9w1,70,EII,8,so/sp,8,964.0,14,Phlegmatic-Melancholic,8,VLEF,1,RLOEN,3,,0,I,0.96,N,0.97,F,0.66,P,0.54,50+
20267,Mia Goth,1,Pop Culture,3424,Actors and Actresses (UK & Ireland),INFP,290,9w1,88,IEI,39,sp/sx,26,927.0,29,Phlegmatic [Dominant],25,FELV,11,RCOAI,16,IN(F),29,I,0.96,N,0.61,F,0.97,P,0.94,50+
24968,Jun (SEVENTEEN),29,Kpop,1548,Kpop,INFP,282,9w1,102,SEI,15,sp/so,33,947.0,36,Melancholic-Sanguine,19,FELV,4,RLUAI,12,IF(N),3,I,0.85,N,0.95,F,0.94,P,0.99,50+
25515,Chadwick Boseman,1,Pop Culture,13,Actors and Actresses (USA),INFP,277,9w1,130,EII,15,sp/so,15,947.0,20,Sanguine-Phlegmatic,17,EFLV,2,RCOAI,3,IF(N),2,I,0.96,N,0.91,F,0.92,P,0.86,50+
1515,John Green,16,The Arts,82,"Writers (Literature, Modern)",INFP,271,9w1,90,IEE,16,so/sp,21,954.0,21,Melancholic [Dominant],21,ELVF,8,RCUAI,7,IT(N),7,I,0.94,N,0.99,F,0.81,P,0.97,50+
6763,Wes Anderson,1,Pop Culture,207,Film Directors,INFP,270,4w3,126,SEI,25,sp/so,28,947.0,38,Phlegmatic [Dominant],18,FLEV,7,RCOAI,15,IN(F),5,I,0.98,N,0.81,F,0.96,P,0.96,50+
84299,Jacob Elordi,1,Pop Culture,3426,Actors & Actresses (Oceania),INFP,267,9w1,99,EII,18,so/sx,36,497.0,32,Phlegmatic-Sanguine,23,FELV,4,RCUAI,19,IF(N),12,I,0.95,N,0.73,F,0.93,P,0.95,50+
36754,Rumi,16,The Arts,3458,"Writers (Literature, Classic)",INFP,261,4w5,112,IEI,30,sx/sp,27,459.0,29,Melancholic [Dominant],25,ELVF,7,RCUAI,13,IN(F),6,I,0.98,N,1.0,F,0.97,P,0.64,50+
142708,Lu Xun,16,The Arts,82,"Writers (Literature, Modern)",INFP,258,5w4,102,ILI,24,so/sp,28,548.0,38,Melancholic-Choleric,18,ELVF,8,RLOEI,13,IF(N),9,I,0.99,N,0.97,F,0.69,P,0.68,50+
42782,Yuka Takaoka,10,Noteworthy,94,Criminals,INFP,258,2w1,81,EIE,20,sx/sp,30,269.0,29,Melancholic [Dominant],24,ELVF,11,RLUEI,17,IF(N),7,I,0.95,N,0.93,F,0.96,P,0.55,50+
